date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:38:23	17692/17692	---M-Z	200	added ('OK')	text/html	etag:W/%2262e81420-451c%22	https://webtrendyio.github.io/sailpoint/index.html	C:/My%20Web%20Sites/MYINSURE/webtrendyio.github.io/sailpoint/index.html	(from )
12:38:24	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://webtrendyio.github.io/robots.txt		(from )
12:38:24	86079/86079	---M-Z	200	added ('OK')	text/css	etag:W/%2262e81420-1503f%22	https://webtrendyio.github.io/sailpoint/fonts/remixicon.css	C:/My%20Web%20Sites/MYINSURE/webtrendyio.github.io/sailpoint/fonts/remixicon.css	(from https://webtrendyio.github.io/sailpoint/index.html)
12:38:24	189115/189115	---M-Z	200	added ('OK')	text/css	etag:W/%2262e81420-2e2bb%22	https://webtrendyio.github.io/sailpoint/scss/bootstrap.css	C:/My%20Web%20Sites/MYINSURE/webtrendyio.github.io/sailpoint/scss/bootstrap.css	(from https://webtrendyio.github.io/sailpoint/index.html)
12:38:25	6574/6574	---M-Z	200	added ('OK')	text/css	etag:W/%2262e81420-19ae%22	https://webtrendyio.github.io/sailpoint/css/styles.css	C:/My%20Web%20Sites/MYINSURE/webtrendyio.github.io/sailpoint/css/styles.css	(from https://webtrendyio.github.io/sailpoint/index.html)
12:38:26	1059716/1059716	---M--	200	added ('OK')	image/png	etag:%2262e81420-102b84%22	https://webtrendyio.github.io/sailpoint/img/product-600x1200-3.png	C:/My%20Web%20Sites/MYINSURE/webtrendyio.github.io/sailpoint/img/product-600x1200-3.png	(from https://webtrendyio.github.io/sailpoint/index.html)
12:38:26	653822/653822	---M--	200	added ('OK')	image/png	etag:%2262e81420-9f9fe%22	https://webtrendyio.github.io/sailpoint/img/product-600x1200-1.png	C:/My%20Web%20Sites/MYINSURE/webtrendyio.github.io/sailpoint/img/product-600x1200-1.png	(from https://webtrendyio.github.io/sailpoint/index.html)
12:38:26	758099/758099	---M--	200	added ('OK')	image/png	etag:%2262e81420-b9153%22	https://webtrendyio.github.io/sailpoint/img/product-600x1200-2.png	C:/My%20Web%20Sites/MYINSURE/webtrendyio.github.io/sailpoint/img/product-600x1200-2.png	(from https://webtrendyio.github.io/sailpoint/index.html)
12:38:26	780744/780744	---M--	200	added ('OK')	image/png	etag:%2262e81420-be9c8%22	https://webtrendyio.github.io/sailpoint/img/product-600x1200-4.png	C:/My%20Web%20Sites/MYINSURE/webtrendyio.github.io/sailpoint/img/product-600x1200-4.png	(from https://webtrendyio.github.io/sailpoint/index.html)
12:38:26	326355/326355	---M--	200	added ('OK')	image/png	etag:%2262e81420-4fad3%22	https://webtrendyio.github.io/sailpoint/img/product-600x1200-6.png	C:/My%20Web%20Sites/MYINSURE/webtrendyio.github.io/sailpoint/img/product-600x1200-6.png	(from https://webtrendyio.github.io/sailpoint/index.html)
